,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
244,2,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,1485.0,881.41
245,30,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,10182.84
246,4,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,117.15
247,2,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,180.83
248,2,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",498.77,139.11
249,1,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",2508.7,470.09
250,2,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",1028.35,747.38
251,1,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.2,559.98
252,3,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,535.46
253,1,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",1156.5,139.69
254,3,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,520.33
255,3,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",358.7,144.69
256,1,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",1498.16,208.27
257,1,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",1599.5,688.35
258,1,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",1455.25,375.4
259,1,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",1398.79,415.77
260,2,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,1472.0,1203.29
261,3,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",398.85,710.93
262,3,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",1229.88,1349.52
263,2,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",1020.0,175.18
264,4,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,175.24
265,4,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",468.97,135.61
266,1,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,2524.5,688.31
267,4,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",1030.0,946.71
268,4,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",1094.6,841.84
269,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,2428.6
270,6,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,5508.73
271,6,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,6802.89
272,1,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
273,1,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0,41.26
274,3,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,520.33
275,2,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",519.0,156.48
276,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,512.36,211.36
277,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,382.76,137.48
278,1,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",560.04,134.94
279,15,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,3537.11
280,1,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",1255.2,370.94
281,2,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,73.06
282,2,"TUB INOX 7/16""ØX49CM 3000W127V ""U"" BUS",965.5,539.17
283,4,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.0,348.39
284,1,"TUB INOX 1/4""ØX370MM 7500W 220V ""U"" PLAC",2265.0,435.26
285,4,"CAS INOX  3/8""ØX3"" 100W127 0V EXT.30CM",574.0,269.88
286,5,BAN INOX 170MMØX55MM 1300W 440V C/STD,1103.0,610.68
287,2,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,577.8,304.73
288,9,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",1330.68,3857.05
289,1,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,800.0,216.65
290,4,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,4985.4
291,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8
292,10,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,3262.29
293,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
294,1,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
295,1,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
296,3,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",1405.25,808.8
297,2,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,222.14
298,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,87.1
299,20,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,2380.95
300,5,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",1666.85,8334.25
301,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,719.0
302,1,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5,2644.78
303,6,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",1551.2,1819.85
304,2,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,1346.28
305,1,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2,1783.73
306,2,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,440.0
307,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,77.92
